Termék kód;Nettó eladási egységár
4565;3327,0
4606;23604,0
5008;244,0
5009;220,0
5233;38503,94
5239;81774,0
5515;3482,0
5564;226,0
5583;12139,0
5584;12715,0
5678;22755,91
5691;148276,0
5818;572,0
5789;111356,0
5832;535,0
5838;472,0
5839;526,0
5845;360,0
5895;33600,0
5929;20869,0
6005;83129,6
6056;5292,0
6062;5677,17
6076;578,74
6078;216,54
6084;163,0
6092;1259,0
6093;1572,0
6095;930,0
6096;1275,0
6097;1588,0
6098;2378,0
6099;3201,0
6100;4073,0
6101;2337,0
6103;2501,0
6104;3941,0
6105;790,0
6106;1179,0
6107;1610,24
6108;716,0
6109;1119,0
6113;642,0
6114;1037,0
6115;1669,29
6116;907,0
6131;4897,64
6133;3083,0
6136;465,0
6137;386,0
6138;11944,0
6139;18969,0
6146;62535,0
6148;78434,0
6149;112615,0
6182;6220,47
6189;32629,0
6221;207,0
6269;690,0
6282;1543,31
6283;2409,45
6079;224,0
8005;30995,0
8008;1772,0
8030;1759,84
8040;148,82
8052;23543,31
8048;39291,34
