Termék kód;Nettó eladási egységár;Beszerzési ár (Nettó);Termék típus
3860;30095,0;22571.25;Termék
3890;47599,0394;35699.28;Termék
3900;19977,0;14982.75;Termék
4002;38976,38;29232.28;Termék
4003;38976,38;29232.28;Termék
4037;48985,2;36738.9;Termék
4038;54540,0;40905;Termék
4039;65118,6;48838.95;Termék
4055;27082,0;20311.5;Termék
4056;35057,0;26292.75;Termék
4059;18946,0;14209.5;Termék
4104;47599,0394;35699.28;Termék
4110;13319,0;9989.25;Termék
4111;9126,0;6844.5;Termék
4112;23759,0;17819.25;Termék
4113;31817,0;23862.75;Termék
4127;155733,1197;116799.84;Termék
4131;248004,0;186003;Termék
4193;1658,0;1243.5;Termék
4224;442,0;331.5;Termék
4244;6491,0;4868.25;Termék
4245;26692,91;20019.68;Termék
4246;14021,0;10515.75;Termék
4253;1967,0;1475.25;Termék
4257;3737,0;2802.75;Termék
4261;1524,0;1143;Termék
4262;2065,0;1548.75;Termék
4409;6654,0;4990.5;Termék
4412;10522,0;7891.5;Termék
4413;16835,0;12626.25;Termék
4415;4753,0;3564.75;Termék
4416;5228,0;3921;Termék
4417;7225,0;5418.75;Termék
4418;7510,0;5632.5;Termék
4428;32238,0;24178.5;Termék
4469;2213,0;1659.75;Termék
4532;4634,0;3475.5;Termék
4535;3707,0;2780.25;Termék
4536;5989,0;4491.75;Termék
4568;16240,0;12180;Termék
4609;24424,0;18318;Termék
4611;29658,0;22243.5;Termék
4612;31236,0;23427;Termék
4682;76222,0;57166.5;Termék
4683;70981,6;53236.2;Termék
4692;119395,0;89546.25;Termék
4694;7504,0;5628;Termék
4711;19592,0;14694;Termék
4755;650,0;487.5;Termék
4846;40157,48;30118.11;Termék
4848;48976,38;36732.28;Termék
4850;75511,81;56633.86;Termék
4931;4560,0;3420;Termék
4934;4197,0;3147.75;Termék
4935;12096,0;9072;Termék
4940;1269,0;951.75;Termék
4946;133,0;99.75;Termék
4984;410,0;307.5;Termék
4989;231,0;173.25;Termék
4990;337,0;252.75;Termék
4993;254,0;190.5;Termék
4995;246,0;184.5;Termék
5001;904,0;678;Termék
5003;683,0;512.25;Termék
5004;683,0;512.25;Termék
5005;683,0;512.25;Termék
5006;719,0;539.25;Termék
5007;934,0;700.5;Termék
5010;347,0;260.25;Termék
5011;395,0;296.25;Termék
5012;720,0;540;Termék
5013;720,0;540;Termék
5094;7993,0;5994.75;Termék
5230;54251,97;40688.98;Termék
5231;54251,97;40688.98;Termék
5232;15920,0;11940;Termék
5237;6965,0;5223.75;Termék
5238;5804,0;4353;Termék
5242;66429,0;49821.75;Termék
5245;5370,08;4027.56;Termék
5249;7796,0;5847;Termék
5265;261,0;195.75;Termék
5368;65590,55;49192.91;Termék
5432;11695,0;8771.25;Termék
5442;16884,0;12663;Termék
5450;6746,0;5059.5;Termék
5456;1653,0;1239.75;Termék
5457;1653,0;1239.75;Termék
5508;46150,0;34612.5;Termék
5565;78261,0;58695.75;Termék
5566;578,0;433.5;Termék
5567;545,0;408.75;Termék
5568;619,0;464.25;Termék
5569;643,0;482.25;Termék
5574;8853,0;6639.75;Termék
5575;11858,0;8893.5;Termék
5587;3557,0;2667.75;Termék
5588;133,0;99.75;Termék
5589;133,0;99.75;Termék
5590;133,0;99.75;Termék
5591;133,0;99.75;Termék
5593;186,0;139.5;Termék
5636;2986,0;2239.5;Termék
5671;654,0;490.5;Termék
5672;147,0;110.25;Termék
5674;4942,0;3706.5;Termék
5677;20480,315;15360.24;Termék
5680;28275,5906;21206.69;Termék
5685;5367,0;4025.25;Termék
5686;133312,7559;99984.57;Termék
5687;70092,8;52569.6;Termék
5692;15669,29;11751.97;Termék
5693;158101,0;118575.75;Termék
5711;11217,0;8412.75;Termék
5710;8457,0;6342.75;Termék
5712;6056,0;4542;Termék
5715;4645,67;3484.25;Termék
5721;3070,87;2303.15;Termék
5722;4664,0;3498;Termék
5723;10944,88;8208.66;Termék
5724;2915,0;2186.25;Termék
5725;2915,0;2186.25;Termék
5726;1344,0;1008;Termék
5727;2914,96;2186.22;Termék
5728;7078,74;5309.06;Termék
5729;2988,0;2241;Termék
5731;10641,0;7980.75;Termék
5734;4076,0;3057;Termék
5735;9580,0;7185;Termék
5738;706,5;529.88;Termék
5741;109,5;82.12;Termék
5745;4616,0;3462;Termék
5747;4785,0;3588.75;Termék
5753;15042,0;11281.5;Termék
5755;1772,0;1329;Termék
5817;1435,0;1076.25;Termék
5819;1435,0;1076.25;Termék
5820;730,0;547.5;Termék
5821;1837,0;1377.75;Termék
5822;1024,0;768;Termék
5823;1837,0;1377.75;Termék
5824;965,0;723.75;Termék
5825;325,0;243.75;Termék
5826;325,0;243.75;Termék
5827;541,0;405.75;Termék
5828;535,0;401.25;Termék
5829;535,0;401.25;Termék
5830;541,0;405.75;Termék
5831;535,0;401.25;Termék
5833;762,0;571.5;Termék
5834;762,0;571.5;Termék
5837;476,0;357;Termék
5840;585,0;438.75;Termék
5841;566,0;424.5;Termék
5842;575,0;431.25;Termék
5846;594,0;445.5;Termék
5847;518,0;388.5;Termék
5848;560,0;420;Termék
5850;555,0;416.25;Termék
5849;164,0;123;Termék
5851;555,0;416.25;Termék
5852;496,0;372;Termék
5853;810,0;607.5;Termék
5856;449,0;336.75;Termék
5858;7795,28;5846.46;Termék
5887;1464,0;1098;Termék
5888;153,0;114.75;Termék
5893;48148,0;36111;Termék
5894;42017,0;31512.75;Termék
5892;52313,0;39234.75;Termék
5930;15783,0;11837.25;Termék
5959;261,0;195.75;Termék
5960;88655,0;66491.25;Termék
5962;7664,0;5748;Termék
5963;33529,0;25146.75;Termék
5964;25170,0;18877.5;Termék
5965;81,0;60.75;Termék
5966;81,0;60.75;Termék
5967;81,0;60.75;Termék
5968;81,0;60.75;Termék
5969;81,0;60.75;Termék
5970;81,0;60.75;Termék
5971;81,0;60.75;Termék
5972;81,0;60.75;Termék
5973;132,0;99;Termék
5974;132,0;99;Termék
5975;132,0;99;Termék
5976;132,0;99;Termék
5977;132,0;99;Termék
5978;9037,0;6777.75;Termék
5979;8336,0;6252;Termék
5980;8336,0;6252;Termék
5981;29055,12;21791.34;Termék
5983;34956,0;26217;Termék
5984;41961,0;31470.75;Termék
6006;20544,0;15408;Termék
6009;58358,0;43768.5;Termék
6012;87655,2;65741.4;Termék
6014;229,0;171.75;Termék
6045;12735,0;9551.25;Termék
6047;50060,0;37545;Termék
6048;49184,6457;36888.48;Termék
6055;4722,0;3541.5;Termék
6057;201,0;150.75;Termék
6065;147,0;110.25;Termék
6067;296,0;222;Termék
6074;354,33;265.75;Termék
6075;378,0;283.5;Termék
6077;189,0;141.75;Termék
6080;297,0;222.75;Termék
6081;234,0;175.5;Termék
6082;312,0;234;Termék
6083;312,0;234;Termék
6085;232,0;174;Termék
6086;241,0;180.75;Termék
6088;839,0;629.25;Termék
6089;1119,0;839.25;Termék
6090;1382,0;1036.5;Termék
6091;2032,0;1524;Termék
6094;2386,0;1789.5;Termék
6102;3925,2;2943.9;Termék
6110;1670,0;1252.5;Termék
6111;798,0;598.5;Termék
6112;1240,16;930.12;Termék
6117;1331,0;998.25;Termék
6118;1909,0;1431.75;Termék
6119;728,35;546.26;Termék
6120;1103,0;827.25;Termék
6121;1654,0;1240.5;Termék
6122;2456,0;1842;Termék
6123;3151,0;2363.25;Termék
6124;2456,0;1842;Termék
6125;3151,0;2363.25;Termék
6126;2361,0;1770.75;Termék
6127;3057,0;2292.75;Termék
6128;2361,0;1770.75;Termék
6129;3057,0;2292.75;Termék
6130;3153,54;2365.15;Termék
6132;2413,0;1809.75;Termék
6134;2327,0;1745.25;Termék
6135;3279,53;2459.65;Termék
6144;34230,0;25672.5;Termék
6145;55541,0;41655.75;Termék
6147;66485,0;49863.75;Termék
6150;156692,91;117519.68;Termék
6158;1132,0;849;Termék
6183;8222,0;6166.5;Termék
6184;2216,0;1662;Termék
6186;5503,94;4127.95;Termék
6188;84,0;63;Termék
6202;290,0;217.5;Termék
6203;272,44;204.33;Termék
6219;7276,0;5457;Termék
6232;204732,0;153549;Termék
6260;1128,0;846;Termék
6261;81,0;60.75;Termék
6268;681,0;510.75;Termék
6278;68785,0;51588.75;Termék
6279;189,0;141.75;Termék
6280;189,0;141.75;Termék
6281;189,0;141.75;Termék
56;210,75;158.06;Termék
185;192,0;144;Termék
187;192,75;144.56;Termék
188;192,75;144.56;Termék
398;186,0;139.5;Termék
496;7571,0;5678.25;Termék
763;7571,0;5678.25;Termék
1217;23185,0;17388.75;Termék
1299;484,0;363;Termék
1308;13271,0;9953.25;Termék
1519;1589,0;1191.75;Termék
1527;2413,0;1809.75;Termék
1799;325,5;244.12;Termék
1803;328,5;246.38;Termék
1818;5319,0;3989.25;Termék
2107;60,0;45;Termék
2582;23706,6929;17780.02;Termék
2709;3689,0;2766.75;Termék
2711;872,0;654;Termék
2712;29860,0;22395;Termék
2722;11825,0;8868.75;Termék
2730;215,0;161.25;Termék
2732;18686,0;14014.5;Termék
2733;27206,0;20404.5;Termék
2741;37045,5;27784.12;Termék
2876;5229,0;3921.75;Termék
2878;7697,0;5772.75;Termék
2939;4133,0;3099.75;Termék
2940;2090,0;1567.5;Termék
2941;836,0;627;Termék
2942;836,0;627;Termék
2947;4247,0;3185.25;Termék
2979;14912,5984;11184.45;Termék
3580;70924,0157;53193.01;Termék
3769;5023,0;3767.25;Termék
3867;9325,0;6993.75;Termék
6031;46930,511;35197.88;Termék
6032;38335,6299;28751.72;Termék
8000;496,0;372;Termék
8001;526,0;394.5;Termék
8002;561,0;420.75;Termék
6276;405,51;304.13;Termék
8003;191,34;143.5;Termék
8004;28972,44;21729.33;Termék
5982;37758,0;28318.5;Termék
6140;78,0;58.5;Termék
6143;78,0;58.5;Termék
6141;78,0;58.5;Termék
6142;78,0;58.5;Termék
8009;543,31;407.48;Termék
6053;1062,99;797.24;Termék
8010;323,0;242.25;Termék
8006;125000,0;93750;Termék
8023;3070,87;2303.15;Termék
8012;736,0;552;Termék
8013;736,0;552;Termék
8014;673,0;504.75;Termék
8015;736,0;552;Termék
8016;858,0;643.5;Termék
8017;366,0;274.5;Termék
8018;366,0;274.5;Termék
8019;2870,0;2152.5;Termék
8035;11732,28;8799.21;Termék
8021;5490,0;4117.5;Termék
8020;5211,08;3908.31;Termék
5742;116,0;87;Termék
8022;168425,2;126318.9;Termék
8032;12992,0;9744;Termék
8025;307,09;230.32;Termék
8026;283,47;212.6;Termék
8027;1299,21;974.41;Termék
8028;1775,48;1331.61;Termék
8029;1240,16;930.12;Termék
8031;885,83;664.37;Termék
8036;284625,99;213469.49;Termék
8037;459291,34;344468.51;Termék
8034;25244,1;18933.07;Termék
8039;535,5;401.62;Termék
8041;148,82;111.61;Termék
5430;14897,64;11173.23;Termék
5688;44956,8;33717.6;Termék
5689;49185,6;36889.2;Termék
5695;2359,0551;1769.29;Termék
5696;1913,7008;1435.28;Termék
999998;91338,5827;68503.94;Termék
999997;111417,3228;83562.99;Termék
999996;106692,9134;80019.69;Termék
999995;133858,2677;100393.7;Termék
8053;465,0;348.75;Termék
8054;15354,33;11515.75;Termék
8038;52287,4016;39215.55;Termék
8045;6220,47;4665.35;Termék
8044;4015,75;3011.81;Termék
8042;7007,88;5255.91;Termék
8046;86535,43;64901.57;Termék
8073;77874,02;58405.51;Termék
8074;313125,99;234844.49;Termék
8075;359003,94;269252.96;Termék
8047;26181,1;19635.82;Termék
8051;21181,1;15885.82;Termék
8049;44803,15;33602.36;Termék
8050;58976,38;44232.28;Termék
562;5370,0;4027.5;Termék
833;1240,0;930;Termék
1425;18116,0;13587;Termék
1786;68153,0;51114.75;Termék
2091;192044,0;144033;Termék
2113;59712,0;44784;Termék
2592;11802,0;8851.5;Termék
2761;86535,43;64901.57;Termék
2810;4192,0;3144;Termék
2811;191,0;143.25;Termék
3859;9442,0;7081.5;Termék
4251;9835,0;7376.25;Termék
4256;1721,0;1290.75;Termék
4410;8727,0;6545.25;Termék
4476;28886,0;21664.5;Termék
4555;4373,0;3279.75;Termék
4565;3327,0;2495.25;Termék
4606;23604,0;17703;Termék
5008;244,0;183;Termék
5009;220,0;165;Termék
5233;38503,94;28877.96;Termék
5239;81774,0;61330.5;Termék
5515;3482,0;2611.5;Termék
5564;226,0;169.5;Termék
5583;12139,0;9104.25;Termék
5584;12715,0;9536.25;Termék
5678;22755,91;17066.93;Termék
5691;148276,0;111207;Termék
5818;572,0;429;Termék
5789;111356,0;83517;Termék
5832;535,0;401.25;Termék
5838;472,0;354;Termék
5839;526,0;394.5;Termék
5845;360,0;270;Termék
5895;33600,0;25200;Termék
5929;20869,0;15651.75;Termék
6005;83129,6;62347.2;Termék
6056;5292,0;3969;Termék
6062;5677,17;4257.88;Termék
6076;578,74;434.06;Termék
6078;216,54;162.41;Termék
6084;163,0;122.25;Termék
6092;1259,0;944.25;Termék
6093;1572,0;1179;Termék
6095;930,0;697.5;Termék
6096;1275,0;956.25;Termék
6097;1588,0;1191;Termék
6098;2378,0;1783.5;Termék
6099;3201,0;2400.75;Termék
6100;4073,0;3054.75;Termék
6101;2337,0;1752.75;Termék
6103;2501,0;1875.75;Termék
6104;3941,0;2955.75;Termék
6105;790,0;592.5;Termék
6106;1179,0;884.25;Termék
6107;1610,24;1207.68;Termék
6108;716,0;537;Termék
6109;1119,0;839.25;Termék
6113;642,0;481.5;Termék
6114;1037,0;777.75;Termék
6115;1669,29;1251.97;Termék
6116;907,0;680.25;Termék
6131;4897,64;3673.23;Termék
6133;3083,0;2312.25;Termék
6136;465,0;348.75;Termék
6137;386,0;289.5;Termék
6138;11944,0;8958;Termék
6139;18969,0;14226.75;Termék
6146;62535,0;46901.25;Termék
6148;78434,0;58825.5;Termék
6149;112615,0;84461.25;Termék
6182;6220,47;4665.35;Termék
6189;32629,0;24471.75;Termék
6221;207,0;155.25;Termék
6269;690,0;517.5;Termék
6282;1543,31;1157.48;Termék
6283;2409,45;1807.09;Termék
6079;224,0;168;Termék
8005;30995,0;23246.25;Termék
8008;1772,0;1329;Termék
8030;1759,84;1319.88;Termék
8040;148,82;111.61;Termék
8052;23543,31;17657.48;Termék
8048;39291,34;29468.5;Termék
