Termék kód;Nettó eladási egységár;Beszerzési ár (Nettó);Termék típus
52;6112,0;4584;Termék
54;5470,0;4102.5;Termék
560;10229,0;7671.75;Termék
561;13277,0;9957.75;Termék
567;708,0;531;Termék
758;23189,0;17391.75;Termék
759;15736,0;11802;Termék
779;15382,0;11536.5;Termék
781;25194,0;18895.5;Termék
782;1377,0;1032.75;Termék
786;17310,0;12982.5;Termék
787;944,0;708;Termék
788;331,0;248.25;Termék
789;413,0;309.75;Termék
790;378,0;283.5;Termék
795;4644,0;3483;Termék
853;413,0;309.75;Termék
1035;1779,0;1334.25;Termék
1050;1383,0;1037.25;Termék
1068;9300,0;6975;Termék
1070;10406,0;7804.5;Termék
1071;23408,0;17556;Termék
1750;209,0;156.75;Termék
1788;106874,02;80155.51;Termék
1820;1288,0;966;Termék
1821;5390,0;4042.5;Termék
1909;1588,0;1191;Termék
1975;708,0;531;Termék
2016;12902,0;9676.5;Termék
2029;6649,0;4986.75;Termék
2115;147680,0;110760;Termék
2255;1850,0;1387.5;Termék
2365;109569,0;82176.75;Termék
2375;10944,88;8208.66;Termék
2482;1242,0;931.5;Termék
2554;22017,0;16512.75;Termék
2590;15354,33;11515.75;Termék
2793;1713,0;1284.75;Termék
2794;1505,0;1128.75;Termék
2796;1174,0;880.5;Termék
2797;770,0;577.5;Termék
2806;2823,0;2117.25;Termék
2808;506,0;379.5;Termék
2809;428,0;321;Termék
2812;297,0;222.75;Termék
2813;376,0;282;Termék
2839;790,0;592.5;Termék
2856;23050,0;17287.5;Termék
2859;31370,0;23527.5;Termék
2860;13328,0;9996;Termék
2924;91913,0;68934.75;Termék
2968;440,0;330;Termék
3000;228,0;171;Termék
3016;20729,0;15546.75;Termék
3035;2743,0;2057.25;Termék
3063;2981,0;2235.75;Termék
3093;227594,0;170695.5;Termék
3124;14223,0;10667.25;Termék
3131;1969,0;1476.75;Termék
3136;11641,0;8730.75;Termék
3230;1613,0;1209.75;Termék
3267;9988,0;7491;Termék
3268;10798,0;8098.5;Termék
3270;7559,0;5669.25;Termék
3273;9448,0;7086;Termék
3354;215,0;161.25;Termék
3427;1969,0;1476.75;Termék
3428;1575,0;1181.25;Termék
3445;7031,0;5273.25;Termék
3470;22628,0;16971;Termék
3659;456,0;342;Termék
3693;77481,0;58110.75;Termék
3698;10229,0;7671.75;Termék
3760;19717,9606;14788.47;Termék
3780;42677,0;32007.75;Termék
3843;39362,21;29521.66;Termék
3845;146505,8268;109879.37;Termék
3847;52522,0;39391.5;Termék
3848;93164,0;69873;Termék
3849;23728,8189;17796.61;Termék
3853;78551,1811;58913.39;Termék
