Termék kód;Árlista;Egységár;Alapár (Nettó)
560;Törzsvásárló 2;9441,51;10229,0
560;Törzsvásárló 5-nagyker;8862,36;10229,0
561;Törzsvásárló 2;12254,86;13277,0
561;Törzsvásárló 5-nagyker;11503,14;13277,0
567;Törzsvásárló 2;653,49;708,0
567;Törzsvásárló 5-nagyker;613,41;708,0
758;Törzsvásárló 2;21403,78;23189,0
758;Törzsvásárló 5-nagyker;20090,86;23189,0
759;Törzsvásárló 2;14524,55;15736,0
759;Törzsvásárló 5-nagyker;13633,61;15736,0
779;Törzsvásárló 2;14197,81;15382,0
779;Törzsvásárló 5-nagyker;13326,9;15382,0
781;Törzsvásárló 2;23254,42;25194,0
781;Törzsvásárló 5-nagyker;21827,98;25194,0
782;Törzsvásárló 2;1270,99;1377,0
782;Törzsvásárló 5-nagyker;1193,03;1377,0
787;Törzsvásárló 2;871,33;944,0
787;Törzsvásárló 5-nagyker;817,88;944,0
788;Törzsvásárló 2;305,52;331,0
788;Törzsvásárló 5-nagyker;286,78;331,0
789;Törzsvásárló 2;381,2;413,0
789;Törzsvásárló 5-nagyker;357,82;413,0
790;Törzsvásárló 2;348,9;378,0
790;Törzsvásárló 5-nagyker;327,5;378,0
853;Törzsvásárló 2;381,2;413,0
853;Törzsvásárló 5-nagyker;357,82;413,0
1068;Törzsvásárló 2;8584,03;9300,0
1068;Törzsvásárló 5-nagyker;8057,48;9300,0
1070;Törzsvásárló 2;9604,89;10406,0
1070;Törzsvásárló 5-nagyker;9015,72;10406,0
1071;Törzsvásárló 2;21605,92;23408,0
1071;Törzsvásárló 5-nagyker;20280,6;23408,0
1788;Törzsvásárló 2;98646,22;106874,0
1788;Törzsvásárló 5-nagyker;92595,2;106874,0
1820;Törzsvásárló 2;1188,84;1288,0
1820;Törzsvásárló 5-nagyker;1115,92;1288,0
1821;Törzsvásárló 2;4975,05;5390,0
1821;Törzsvásárló 5-nagyker;4669,87;5390,0
2029;Törzsvásárló 2;6137,12;6649,0
2029;Törzsvásárló 5-nagyker;5760,67;6649,0
2115;Törzsvásárló 2;136310,74;147680,0
2115;Törzsvásárló 5-nagyker;127949,36;147680,0
2365;Törzsvásárló 2;101133,75;109569,0
2365;Törzsvásárló 5-nagyker;94930,14;109569,0
2375;Törzsvásárló 2;10101,47;10944,0
2375;Törzsvásárló 5-nagyker;9481,84;10944,0
2554;Törzsvásárló 2;20322,0;22017,0
2554;Törzsvásárló 5-nagyker;19075,44;22017,0
2590;Törzsvásárló 2;14171,96;15354,0
2590;Törzsvásárló 5-nagyker;13302,64;15354,0
2793;Törzsvásárló 2;1581,12;1713,0
2793;Törzsvásárló 5-nagyker;1484,14;1713,0
2794;Törzsvásárló 2;1389,14;1505,0
2794;Törzsvásárló 5-nagyker;1303,93;1505,0
2796;Törzsvásárló 2;1083,62;1174,0
2796;Törzsvásárló 5-nagyker;1017,15;1174,0
2797;Törzsvásárló 2;710,72;770,0
2797;Törzsvásárló 5-nagyker;667,12;770,0
2806;Törzsvásárló 2;2605,67;2823,0
2806;Törzsvásárló 5-nagyker;2445,84;2823,0
2809;Törzsvásárló 2;395,05;428,0
2809;Törzsvásárló 5-nagyker;370,82;428,0
2812;Törzsvásárló 2;274,14;297,0
2812;Törzsvásárló 5-nagyker;257,32;297,0
2813;Törzsvásárló 2;347,05;376,0
2813;Törzsvásárló 5-nagyker;325,76;376,0
2839;Törzsvásárló 2;729,18;790,0
2839;Törzsvásárló 5-nagyker;684,45;790,0
2856;Törzsvásárló 2;21275,48;23050,0
2856;Törzsvásárló 5-nagyker;19970,43;23050,0
2859;Törzsvásárló 2;28954,96;31370,0
2859;Törzsvásárló 5-nagyker;27178,84;31370,0
